대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강서구,2702. 마곡 엠밸리2단지,202102,370
강서구,2703.서울도시가스 앞,202102,344
강서구,2704.홈플러스(강서점),202102,1016
강서구,2706.강서공업고등학교 앞,202102,569
강서구,2707.한강아파트,202102,644
강서구,2708.강서한강자이타워 앞,202102,1310
강서구,2709.강변아파트 310동 앞,202102,470
강서구,2710.라이품 공영주차장 앞,202102,430
강서구,2711.가로공원공영주차장 1번 출구,202102,416
강서구,2712.화곡터널입구교차로,202102,236
강서구,2713.우장초등학교 앞,202102,374
강서구,2714.발산1동주민센터교차로,202102,966
강서구,2715.마곡나루역 2번 출구,202102,2971
강서구,2716.롯데 R&D 센터,202102,147
강서구,2717.LG유플러스 마곡사옥,202102,1146
강서구,2718.마곡수명산파크1단지,202102,341
강서구,2719.마곡문화공원,202102,821
강서구,2720.힐스테이트에코,202102,1091
강서구,2721.등촌1-10단지 교차로,202102,761
강서구,2722.마곡 문영비지웍스,202102,1258
강서구,2723.마곡 필네이처,202102,620
강서구,2724.(재)FITI시험연구원,202102,659
강서구,2725.서울식물원 식물문화센터,202102,511
강서구,2727.서울식물원 잔디마당 앞,202102,523
강서구,2728.마곡나루역 3번 출구,202102,1628
강서구,2729.넥센 유니버시티 앞,202102,577
강서구,2730.마곡메가박스 앞,202102,837
강서구,2731.명덕고교,202102,281
강서구,2732.마곡수명산 1-2단지,202102,507
강서구,2733.마곡13단지 정문 앞,202102,1379
강서구,2735.마곡 공공청사,202102,795
강서구,2737.까치산역 3번 출구,202102,561
강서구,2739.수명산파크1단지교차로,202102,727
강서구,2740.마곡레포츠센터,202102,297
강서구,2741.마곡수명산파크5-6단지,202102,464
강서구,2742.강서구민올림픽체육센터,202102,478
강서구,2743.동신아파트 104동 앞,202102,476
강서구,2744.강서세무서 앞,202102,377
강서구,2745.수명초등학교,202102,341
강서구,2746.수명산파크 4단지 411동 앞,202102,472
강서구,3753. 공항중학교 버스정류장,202102,209
강서구,3756. 마곡힐스테이트 정문,202102,325
강서구,3759. 서울이대병원,202102,314
강서구,3760. 발산역 8번 출구,202102,363
강서구,3761. 나이아가라관광호텔,202102,173
강서구,3763. 등촌태영아파트,202102,281
강서구,3765. 문소빌딩,202102,112
강서구,3766. 강서문화센터,202102,65
강서구,3767. 대원빌딩,202102,167
강서구,3769. 가양동 이마트 앞,202102,738
강서구,3772. 길성그랑프리텔아파트,202102,632
강서구,3775. 가양오토갤러리,202102,368
강서구,3776. 김포공항교차로,202102,131
강서구,3778. 김포공항입구 교차로,202102,565
강서구,3779. 유광사여성병원,202102,236
강서구,3780. 등촌서광아파트,202102,808
강서구,3781. 강서아동복지센터,202102,43
강서구,3782. 겸재정선미술관,202102,306
강서구,3783. 마곡금호어울림아파트,202102,246
강서구,3784. 벽산아파트,202102,577
강서구,3786. 강서힐스테이트 상가 앞,202102,210
강서구,3787. 가양나들목,202102,485
강서구,3788. 정곡나들목,202102,868
강서구,3789. 염창나들목,202102,1086
강서구,3792. 화곡본동시장 입구,202102,243
강서구,3794. 안양천합수부(현대3차아파트),202102,776
강서구,3795. 공항신성빌딩 앞,202102,190
강서구,3796. 송정역 3번출구 앞,202102,329
강서구,3797. 마곡수명산파크7단지 710동 앞,202102,193
강서구,3798. 그랜드아이파크아파트 앞,202102,714
관악구,2102. 봉림교 교통섬,202102,3823
관악구,2103. 신림동 우방아파트,202102,838
관악구,2104. 사당역 5번출구,202102,648
관악구,2105. 미성동 신림체육센터,202102,600
관악구,2106. 난곡 새마을금고,202102,884
관악구,2107. 도림천 신화교,202102,1260
관악구,2108. 은천치안센터,202102,578
관악구,2109. 은천로입구 가로공원,202102,1450
관악구,2110. 조원동 미성아파트,202102,54
관악구,2111. 서울대입구역 1번출구,202102,496
관악구,2112. 서울대입구역 마에스트로,202102,542
관악구,2113. 관악동작견인차량보관소,202102,935
관악구,2115. 관악농협농산물백화점,202102,632
관악구,2116. 에이스에이존빌딩,202102,449
관악구,2119. 중앙동 동진빌딩,202102,648
관악구,2122. 낙성대로 입구,202102,345
관악구,2127. 보성운수차고지 맞은편,202102,295
