,정류소명,X좌표,Y좌표
417,남산3호터널.서울애니메이션센터,126.9825662,37.5595072
418,명동입구,126.9852258,37.56076734
419,퇴계로2가.명동역,126.985717,37.56094
420,퇴계로3가.한옥마을.한국의집,126.991731,37.56113348
421,퇴계로3가.한옥마을.한국의집,126.9924905,37.56098999
422,충무로역2번출구.대한극장앞,126.994883,37.56131968
423,충무로역8번출구.대한극장앞,126.9965752,37.56187249
424,초동,126.9930225,37.56333797
425,을지로입구.로얄호텔,126.9853753,37.56598702
426,을지로입구.시청입구,126.9811721,37.56606813
427,을지로2가.기업은행본점.서울노동청,126.9865271,37.56617502
428,을지로2가.파인에비뉴,126.9888222,37.5661216
429,을지로3가,126.9903795,37.56631337
430,을지로3가,126.9913175,37.56623363
431,을지로4가,126.9962219,37.56660385
432,을지로4가.베스트웨스턴국도,126.9968403,37.56649714
433,중구청앞.덕수중학교,126.9982285,37.56477911
434,을지로5가,126.9992631,37.5667551
435,을지로5가.중부시장,127.001107,37.56672392
436,방산시장.훈련원종합체육관,127.0022525,37.56795334
437,을지로5가.훈련원종합체육관,127.0024218,37.56581687
438,을지로6가.국립중앙의료원,127.0064075,37.56617947
439,광희동,127.0072942,37.5650334
440,광희동,127.0075739,37.56508379
441,을지로6가.국립중앙의료원,127.0058283,37.56640642
442,동대문역사문화공원,127.0084231,37.56731997
443,동대문역사문화공원,127.0089802,37.56762557
444,충무아트센터.스포츠센터.중부소방서,127.0140522,37.56515844
445,충무아트센터.스포츠센터.중부소방서,127.0147221,37.56512145
446,성동공업고등학교(무궁화회관),127.0158931,37.56835631
447,성동공업고등학교앞,127.0160142,37.56868774
448,신당역.중앙시장앞,127.018745,37.56568518
449,신당역.중앙시장앞,127.0194762,37.56558611
450,성동고등학교,127.0220407,37.56551132
451,성동고등학교,127.0225801,37.56528695
452,신당동떡볶이타운.중구여성플라자,127.015142,37.56274933
453,신당동떡볶이타운.중구여성플라자,127.0150783,37.56235115
454,신당동.청구역,127.0131007,37.55899144
455,신당동.청구역,127.0130812,37.55923872
456,약수역2번출구.가온도서관,127.0111792,37.55596961
457,약수역3번출구.약수하이츠,127.01125,37.55579466
458,약수역4번출구.금호터널입구,127.0124236,37.55276596
459,약수역5번출구.금호터널입구,127.0120112,37.55301126
460,약수역8번출구.신당사회복지관,127.0099899,37.55385196
461,약수역7번출구.약수동주민센터,127.0092201,37.55293541
462,송도병원앞,127.0076565,37.55027259
463,송도병원앞,127.0075034,37.55021868
464,약수역1번출구,127.009602,37.55637304
465,장충체육관앞,127.0077112,37.55840272
466,장충체육관앞,127.007902,37.55808115
467,장충동.동국대입구,127.0058094,37.56064722
468,장충동.동국대입구,127.0056677,37.56065627
469,퇴계로6가,127.0038946,37.56341884
470,퇴계로6가,127.0032991,37.56343182
471,퇴계로5가.제일병원,126.99993,37.56248011
472,퇴계로5가,126.9999101,37.56262926
473,국립극장.반얀트리호텔,127.000734,37.551223
474,국립극장.반얀트리호텔,127.0010414,37.55161565
475,청구역,127.0146421,37.5599363
476,청구역,127.0142652,37.56000578
477,동화동,127.0183294,37.55991519
478,동화동,127.0182878,37.5598546
479,백범광장,126.9801102,37.5556147
480,남대문경찰서,126.9736348,37.55381915
481,남대문시장앞.이회영활동터,126.9762193,37.56037765
482,남산케이블카.남산산책로입구,126.9838859,37.55528501
483,숭의여대,126.987406,37.55862038
484,동대입구역.장충동,127.005433,37.55811924
485,약수역10번출구,127.009201,37.55636809
486,청계1가.광교,126.9836589,37.56858678
487,청계2가.삼일교,126.9885302,37.568
488,청계4가.배오개다리,126.9971441,37.56867761
489,청계5가.방산시장,127.0006386,37.56925042
490,청계6가.평화시장,127.0044818,37.569498
491,청계7가.동평화.청평화시장,127.0138488,37.56962628
492,청계8가.영도교,127.018747,37.57074699
493,신한은행본점,126.9757104,37.56116507
494,동대문역사문화공원,127.0091615,37.56552088
495,버티고개,127.0060182,37.54784044
496,버티고개,127.0057824,37.54769596
497,청계3가.세운교,126.9937855,37.56836118
498,청계6가.오간수교,127.009025,37.56960868
499,충무로역.매일경제,126.9932423,37.56167918
500,을지로입구역.광교,126.9826166,37.56755438
501,신당파인힐하나유보라,127.0263049,37.5649352
502,명동국민은행앞,126.9823844,37.56453883
503,남산북측순환로입구,126.9988082,37.55069541
504,신당동삼성아파트,127.0188187,37.55854303
505,신당동대우푸르지오,127.0188856,37.55845685
506,황학동주민센터,127.0235249,37.5668592
507,신당초등학교앞,127.0239588,37.56453352
508,금호베스트빌.래미안하이베르,127.0241114,37.56155246
509,금호베스트빌.래미안하이베르,127.0242474,37.56222856
510,신당초등학교,127.024189,37.56428733
511,서대문경찰서.농협은행.유관순활동터,126.9673852,37.56522592
512,교육연구정보원,126.9802378,37.5545554
513,방산종합시장,127.0020488,37.56781113
514,황학동롯데캐슬,127.022163,37.571708
515,광희문.광희동사거리,127.0086314,37.56447743
516,광희문.광희동사거리,127.0094022,37.56446506
517,황학동롯데캐슬,127.0233572,37.5709473
518,한국은행.신세계앞,126.9793091,37.5613424
519,서울기동대.광희초등학교,127.0145779,37.56796267
520,동대문디자인플라자,127.0120087,37.56786145
521,서대문역사거리.농협중앙회,126.9687629,37.56782041
522,서울스퀘어앞,126.9727847,37.5553185
523,북창동.남대문시장,126.9769401,37.56080669
524,힐튼호텔,126.976653,37.55620386
525,힐튼호텔,126.9766122,37.5566056
526,시청앞.덕수궁,126.9770031,37.56621596
527,남대문세무서.국가인권위원회,126.9876802,37.56507984
528,장충문화체육센터.권기옥활동터,127.002722,37.56018141
529,남산1호터널,126.9922686,37.55741998
530,약수역.3.6호선,127.0123678,37.55264611
531,조선일보,126.976884,37.56884959
532,시청역,126.9770214,37.56564001
533,삼성본관앞,126.976218,37.56245975
534,서울역,126.9715279,37.55823923
535,숭례문앞,126.9765232,37.56270204
536,프레스센터,126.9772623,37.56735756
537,신당역하나은행,127.0216023,37.56546491
538,염천교,126.9711214,37.55980481
539,중림동입구.서소문성지역사박물관,126.9692025,37.55847699
540,서울역서부,126.9691874,37.5564711
541,한국경제신문사,126.9678307,37.56089625
542,신금호파크자이아파트후문,127.017221,37.55532872
543,응봉근린공원.금호산,127.0170284,37.55378195
544,서울방송고등학교.남산타운아파트,127.0124077,37.54958456
