,자치구명,사용월,승차총승객수,하차총승객수
518,성북구,202011,11523747,10832055
519,성북구,202012,8783306,8244400
520,성북구,202101,8790835,8253233
521,성북구,202102,9810467,9234614
522,성북구,202103,10910439,10270251
523,성북구,202104,11054079,10412060
524,성북구,202105,10802078,10190629
525,성북구,202106,11161033,10530914
526,성북구,202107,10263562,9701617
527,송파구,201901,10154562,9967346
528,송파구,201902,9775069,9602059
529,송파구,201903,10855070,10677699
530,송파구,201904,11242507,11085350
531,송파구,201905,10904561,10738881
532,송파구,201906,10656809,10519880
533,송파구,201907,11014041,10853113
534,송파구,201908,10415718,10293427
535,송파구,201909,10242297,10129916
536,송파구,201910,10669222,10557370
537,송파구,201911,10748837,10663252
538,송파구,201912,10763694,10666386
539,송파구,202001,9373097,9284613
540,송파구,202002,8892008,8800119
541,송파구,202003,7212982,7118281
542,송파구,202004,7594388,7516610
543,송파구,202005,8069952,7990445
544,송파구,202006,8824405,8737850
545,송파구,202007,8952397,8857405
546,송파구,202008,8127698,8039976
547,송파구,202009,7683013,7592351
548,송파구,202010,8140168,8072897
549,송파구,202011,8855393,8784044
550,송파구,202012,6916145,6832037
551,송파구,202101,7081122,6998786
552,송파구,202102,7635954,7591699
553,송파구,202103,8387262,8337512
554,송파구,202104,8447899,8394881
555,송파구,202105,8209861,8152941
556,송파구,202106,8572643,8428266
557,송파구,202107,7956006,7834579
558,양천구,201901,6547887,6379129
559,양천구,201902,6379114,6208275
560,양천구,201903,7120404,6940938
561,양천구,201904,7093509,6813466
562,양천구,201905,6944882,6666367
563,양천구,201906,6832689,6557250
564,양천구,201907,7187170,6903125
565,양천구,201908,6879645,6632510
566,양천구,201909,6748578,6512757
567,양천구,201910,7011274,6840006
568,양천구,201911,7158207,7019923
569,양천구,201912,7180065,7061258
570,양천구,202001,6307325,6207758
571,양천구,202002,6146111,6039980
572,양천구,202003,4716687,4637031
573,양천구,202004,4967487,4884631
574,양천구,202005,5452498,5346963
575,양천구,202006,6057715,5912249
576,양천구,202007,6246678,6087562
577,양천구,202008,5729621,5590047
578,양천구,202009,5300788,5168884
579,양천구,202010,5603756,5472646
580,양천구,202011,6098563,5956902
581,양천구,202012,4677639,4589810
582,양천구,202101,4816120,4719852
583,양천구,202102,5335221,5252257
584,양천구,202103,5821912,5728917
585,양천구,202104,5846370,5757889
586,양천구,202105,5712127,5621982
587,양천구,202106,6002917,5911249
588,양천구,202107,5643020,5557227
589,영등포구,201901,16397306,16057263
590,영등포구,201902,15742878,15400625
591,영등포구,201903,17381035,16989557
592,영등포구,201904,18196122,17768956
593,영등포구,201905,17622815,17196592
594,영등포구,201906,17485637,17099794
595,영등포구,201907,18054840,17671480
596,영등포구,201908,17227748,16877114
597,영등포구,201909,16886181,16549964
598,영등포구,201910,17540885,17166794
599,영등포구,201911,17603018,17202063
600,영등포구,201912,17680987,17291605
601,영등포구,202001,15509851,15163878
602,영등포구,202002,14706247,14400690
603,영등포구,202003,11554939,11311257
604,영등포구,202004,12107260,11948990
605,영등포구,202005,13183675,12972231
606,영등포구,202006,14341900,14092201
607,영등포구,202007,14460536,14211371
608,영등포구,202008,13122993,12859267
609,영등포구,202009,12301528,12113325
610,영등포구,202010,12768692,12627282
611,영등포구,202011,13891999,13749967
612,영등포구,202012,10793669,10648829
613,영등포구,202101,10879250,10707415
614,영등포구,202102,12023224,11792223
615,영등포구,202103,13326125,13031910
616,영등포구,202104,13282142,13021948
617,영등포구,202105,12852748,12582070
618,영등포구,202106,13579825,13312788
619,영등포구,202107,12413098,12181607
620,용산구,201901,8645206,8025718
621,용산구,201902,8558173,7924728
622,용산구,201903,9931269,9101150
623,용산구,201904,10138913,9274197
624,용산구,201905,10009336,9183829
625,용산구,201906,9985511,9194152
626,용산구,201907,9794722,9102319
627,용산구,201908,9349959,8703391
628,용산구,201909,9498730,8731019
629,용산구,201910,9987409,9177241
630,용산구,201911,9949042,9155279
631,용산구,201912,9740120,9001069
632,용산구,202001,8227504,7648865
633,용산구,202002,7728767,7237353
634,용산구,202003,5987890,5613516
635,용산구,202004,6397715,5999822
636,용산구,202005,6763726,6332360
637,용산구,202006,7643803,7145518
638,용산구,202007,7849430,7330931
639,용산구,202008,6927440,6476777
640,용산구,202009,6592083,6183760
641,용산구,202010,7092525,6624721
642,용산구,202011,7661460,7133960
643,용산구,202012,5601730,5261093
644,용산구,202101,5612146,5274049
645,용산구,202102,6497166,6097271
646,용산구,202103,7319964,6833264
647,용산구,202104,7489325,6980935
648,용산구,202105,7319107,6815946
649,용산구,202106,7764293,7241463
650,용산구,202107,6869403,6482248
651,은평구,201901,11149257,10860401
652,은평구,201902,11025301,10718011
653,은평구,201903,12324399,12012167
654,은평구,201904,12588547,12272596
655,은평구,201905,12340649,12045430
656,은평구,201906,12145093,11875167
657,은평구,201907,12377171,12074804
658,은평구,201908,11792840,11534152
659,은평구,201909,11875298,11653238
660,은평구,201910,12254850,12035579
661,은평구,201911,12476727,12236207
662,은평구,201912,12323485,12098431
663,은평구,202001,10649147,10460806
664,은평구,202002,10175938,9990474
665,은평구,202003,8203695,8046605
666,은평구,202004,8799787,8640284
667,은평구,202005,9503204,9322763
668,은평구,202006,10492305,10310772
669,은평구,202007,10540239,10361110
670,은평구,202008,9606986,9410546
671,은평구,202009,9311745,9118580
672,은평구,202010,9918115,9736139
673,은평구,202011,10666540,10481355
674,은평구,202012,8465727,8299747
675,은평구,202101,8439028,8254997
676,은평구,202102,9355108,9179789
677,은평구,202103,10279628,10094854
678,은평구,202104,10430832,10243307
679,은평구,202105,10151267,9976447
680,은평구,202106,10656769,10487394
681,은평구,202107,9912781,9734069
682,종로구,201901,10742985,10450375
683,종로구,201902,10494254,10190430
684,종로구,201903,11812783,11528603
685,종로구,201904,12200989,11912235
686,종로구,201905,11971712,11664329
687,종로구,201906,11884474,11509396
688,종로구,201907,11761924,11390008
689,종로구,201908,11116447,10797778
690,종로구,201909,11437285,11126005
691,종로구,201910,11802090,11456608
692,종로구,201911,12116036,11782546
693,종로구,201912,11924457,11601447
694,종로구,202001,9998577,9715446
695,종로구,202002,9168695,8934661
696,종로구,202003,7254621,7099905
697,종로구,202004,7915093,7747962
698,종로구,202005,8615878,8414944
699,종로구,202006,9499184,9299477
700,종로구,202007,9664668,9461068
701,종로구,202008,8153135,7989334
702,종로구,202009,7752464,7643621
703,종로구,202010,8540734,8399654
704,종로구,202011,9483036,9329120
705,종로구,202012,6685617,6622680
706,종로구,202101,6580412,6565019
707,종로구,202102,7716190,7617617
708,종로구,202103,8712109,8592471
709,종로구,202104,8775610,8592759
710,종로구,202105,8623675,8429032
711,종로구,202106,9002479,8781083
712,종로구,202107,7902119,7738499
713,중구,201901,7273817,7025554
714,중구,201902,7188431,6920062
715,중구,201903,7981622,7680911
716,중구,201904,8394481,8067645
717,중구,201905,8259022,7916432
718,중구,201906,8276741,7907253
719,중구,201907,8212779,7835376
720,중구,201908,7739900,7418578
721,중구,201909,7771613,7463295
722,중구,201910,8241786,7887956
723,중구,201911,8228365,7907667
724,중구,201912,8069679,7749635
725,중구,202001,6931753,6629006
726,중구,202002,6226186,6001157
727,중구,202003,4950229,4742392
728,중구,202004,5382047,5100905
729,중구,202005,5805487,5515111
730,중구,202006,6354932,6049522
731,중구,202007,6404817,6083070
732,중구,202008,5456157,5175867
733,중구,202009,5303616,5081720
734,중구,202010,5710521,5451599
735,중구,202011,6077586,5870577
736,중구,202012,4463549,4341245
737,중구,202101,4336523,4255943
738,중구,202102,4978334,4858733
739,중구,202103,5598736,5445881
740,중구,202104,5753916,5571398
741,중구,202105,5604935,5382658
742,중구,202106,5942825,5700781
743,중구,202107,5290669,5079542
744,중랑구,201901,7470776,7190310
745,중랑구,201902,7458507,7171712
746,중랑구,201903,8347881,8000374
747,중랑구,201904,8416708,8066339
748,중랑구,201905,8268876,7944942
749,중랑구,201906,8101773,7794251
750,중랑구,201907,8223566,7908646
751,중랑구,201908,7889301,7580622
752,중랑구,201909,8047514,7694392
753,중랑구,201910,8239266,7889245
754,중랑구,201911,8456116,8101315
755,중랑구,201912,8316314,7989432
756,중랑구,202001,7242482,6968191
757,중랑구,202002,6963142,6690114
758,중랑구,202003,5685473,5447507
759,중랑구,202004,5959918,5711166
760,중랑구,202005,6362504,6097290
761,중랑구,202006,6935650,6651325
762,중랑구,202007,6915390,6637278
763,중랑구,202008,6365347,6111330
764,중랑구,202009,6149417,5887273
765,중랑구,202010,6404204,6150015
766,중랑구,202011,6959993,6667578
767,중랑구,202012,5540201,5292483
768,중랑구,202101,5593283,5333889
769,중랑구,202102,6100752,5836828
770,중랑구,202103,6668641,6334463
771,중랑구,202104,6780282,6444068
772,중랑구,202105,6607757,6287102
773,중랑구,202106,6928720,6598991
774,중랑구,202107,6535633,6237771
